_type,_id,_revision,_page.next,regionas,telkinio_pav,m_vietos_kodas,m_vietos_pav,koord,data,vandens_temp,suspend_medziagos,sarmingumas,deguonis_istirpes,ph,skaidrumas,elektr_laidis,biochem_deg_suvartojimas,amonio_azotas,nitritu_azotas,nitratu_azotas,azotas_mineralinis,azotas_bendras,fosfatu_fosforas,fosforas_bendras,anglingumas,chlorofilas_a,kalcio_karbonatas,gyvsidabris,kadmis,nikelis,svinas,varis,chromas,vanadis,aliuminis,alavas,arsenas,cinkas,antracenas,fluorantenas,naftalenas,benz_a_pirenas,benz_b_fluorantenas,benz_k_fluorantenas,benz_ghi_perilenas,inden_123_cd_pirenas,p4_n_nonilfenolis,p4_n_oktilfenolis,p4_nonilfenolis_sakot,p4_tert_oktilfenolis,nonilfenoliai,pentachlorfenolis,benzenas,p12_dichloretanas,p123_trichlorbenzenas,p124_trichlorbenzenas,heksachlorbutadienas,trichloretilenas,tetrachlormetanas,dichlormetanas,tetrachloretilenas,trichlormetanas,aldrinas,dieldrinas,izodrinas,endrinas,alfa_heksachlorcikloheksanas,beta_heksachlorcikloheksanas,gama_heksachlorcikloheksanas,heksachlorbenzenas,pentachlorbenzenas,alfa_endosulfanas,beta_endosulfanas,o_p_ddt,p_p_ddd,p_p_ddt,p_p_dde,simazinas,atrazinas,diuronas,izoproturonas,chinoksifenas,aklonifenas,cibutrinas,terbutrinas,chlorpyrifosas,chlorfenvinfosas,trifluralinas,heptachloras,heptachloro_epoksidas,tributilalavo_katijonas,di2_etilheksilftalatas,bde_28,bde_47,bde_85,bde_99,bde_100,bde_153,bde_154,pcb_28,pcb_52,pcb_101,pcb_118,pcb_138,pcb_153,pcb_180,pfos,dikofolis,alachloras,bifenoksas,cipermetrinas,dichlorvosas,p4_t_oktilfenolio_dietoksilatas,p4_t_oktilfenolio_monoetoksilatas,p4_t_oktilfenolio_trietoksilatas
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,43d709fe-bd29-4722-a161-60b810872faf,4b9d8663-2eba-4ee4-a8a9-d0e59a9d4d35,,Utenos,Stirniai,LTL343,Stirniai,POINT (6124518 605749),2020-07-13,20.0,<2,2.4,8.9,8.5,5.2,230.0,1.4,"<0,014","<0,001",0.02,0.035,0.55,"<0,002",0.013,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,43e0d2d1-c067-40e1-99e8-42896e75200a,a51ee9be-db69-4238-9052-4a22a33c80f0,,Alytaus,Luksnėnų ežeras,LTL466,Luksnėnų ežeras,POINT (6028420 494673),2017-09-25,15.4,7.5,3.8,8.9,8.3,2.4,421.0,3.3,0.04,0.006,0.05,0.096,0.7,0.024,0.11,,69.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,43ee5c0d-5a10-426b-806c-895744e55179,92edba0e-034b-41c1-b10a-578a69cfb360,,Marijampolės,Pilvės-Vabalkšnės tvenkinys,LTL543,Pilvės-Vabalkšnės tvenkinys,POINT (6064130 466346),2017-07-27,19.6,2.8,4.8,6.1,7.7,1.3,517.0,4.8,0.06,0.031,0.52,0.611,1.3,0.01,0.061,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,443d9978-1f7b-4c9c-b31c-3440e6d226a4,02527f12-f81f-4ffa-8a3d-33f200e8f0c9,,Utenos RAAD,Alnis,LTL65,Alnis,,2022-04-26,8.8,<2,1.7,12.0,8.2,6.7,181.0,2.0,0.14,0.002,0.05,0.192,0.58,0.002,"<0,0081",,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,446d44fa-1154-42d9-95fb-74f0be28083a,f90607f0-cd65-46d9-a779-c8a6209fd619,,Utenos,Utenas,LTL319,Utenas,POINT (6148545 626618),2019-08-22,20.2,<2,3.6,8.9,8.4,3.6,319.0,0.89,0.02,"<0,001",0.03,0.051,0.61,"<0,002",0.012,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,447e3933-cf72-48ec-bf14-cb78c404cd86,1c4ed7cf-3537-4dff-a65d-d5be248a7d5d,,Utenos,Nevėža,LTL285,Nevėža,POINT (6146804 575316),2020-08-24,21.8,3,4.0,8.5,8.4,2.6,429.0,2.2,0.03,0.016,0.33,0.376,0.39,"<0,002",0.016,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,4488a295-1f4e-4f5c-858f-47fc31b8d412,2ccae0a7-465d-4f0b-9ab5-0603d1ae4fdc,,Utenos,Stirniai,LTL343,Stirniai,POINT (6124518 605749),2017-01-16,0.4,"<1,7",2.5,12.8,8.9,6.7,254.0,1.3,0.04,0.002,0.19,0.232,0.92,"<0,002",0.026,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,44a9c547-fb05-4f41-83c6-9b3342007a6a,63345135-d56c-4deb-8ace-0f2c80a612b7,,Vilniaus RAAD,Vajuonis,LTL325,Vajuonis,,2022-08-24,24.3,<2,3.3,8.6,8.72,3.1,325.0,0.9,"<0,02","<0,005",0.015,0.04,0.158,"<0,015","<0,015",,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,44d76b53-9a20-4656-a2f1-52a61f8d5bfc,8c377143-c784-43c1-8611-4d7a8b7b1e12,,Utenos RAAD,Zarasas,LTL171,Zarasas,,2022-08-18,24.7,2.1,3.2,9.6,8.6,3.1,353.0,1.5,0.02,0.002,0.11,0.132,0.42,0.002,0.019,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
datasets/gov/aaa/ezeru_monitoringas/EzeruValstybinioMonitoringoDuomenys,44e48bbb-6eef-45d9-a3f6-7ed5acfb85f5,0133c935-543c-48a9-a1e7-dac0d411dec0,,Vilniaus,Šventas,LTL446,Šventas,POINT (6121795 629748),2017-04-27,7.4,4.6,4.1,11.04,8.51,0.9,433.0,0.9,0.118,0.039,2.57,2.727,4.5,"<0,014",0.035,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
